root_id,baseline,LPLC2_L,LPLC2_R,LPLC2_both,LC4_L,LC4_R,LC4_LPLC2_L,cell_type,side
720575940642545883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg32,left
720575940614403178,0.0,6.75,0.0,0.0,11.5,0.0,5.25,DNae005,right
720575940629777018,0.0,0.0,0.0,0.0,0.0,115.5,0.0,DNp11,right
720575940610872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge011,right
720575940634903915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg69,right
720575940617917396,0.0,0.25,0.0,0.0,0.0,0.0,0.0,DNbe003,left
720575940635210603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe052,right
720575940626179614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg72,right
720575940628132745,0.0,0.0,35.0,34.0,0.0,0.0,3.75,DNp31,right
720575940622352764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg18_b,left
720575940632302151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge019,left
720575940628885160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe049,right
720575940623142426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe043,left
720575940622161366,0.0,0.0,20.75,21.75,0.0,23.25,0.0,DNge054,right
720575940617922439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg02_g,right
720575940630990533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge091,right
720575940618876830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg06,right
720575940628869648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge077,right
720575940621313414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge038,left
720575940618698411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg06,right
720575940645537902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNde001,left
720575940621119061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNbe002,left
720575940631333195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNd05,left
720575940614587990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe009,right
720575940632574946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge113,left
720575940618427156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge113,right
720575940630428324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe029,left
720575940626665489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe054,left
720575940630346860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp54,left
720575940615794077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe015,left
720575940632646114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe046,left
720575940631124076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge134,right
720575940620017261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge009,right
720575940628498161,0.0,0.0,0.0,2.0,0.0,0.0,0.5,DNp08,left
720575940622843530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe031,right
720575940624374334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge093,left
720575940637608560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNa14,right
720575940626189657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge126,left
720575940609407939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge080,right
720575940623153788,0.0,0.0,0.0,0.0,0.0,0.0,0.5,DNpe014,left
720575940643817888,0.0,0.0,2.0,0.0,0.0,0.0,0.0,DNg04,left
720575940630980559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg28,right
720575940633213132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe054,right
720575940641276917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNae004,right
720575940620082512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge049,right
720575940622797244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_c,left
720575940638094911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge091,right
720575940635464343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe004,left
720575940620468718,0.0,0.0,0.0,0.0,0.0,138.75,0.0,DNp02,right
720575940629725545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge091,left
720575940605702944,0.0,0.0,23.5,20.5,0.0,0.0,0.0,DNpe040,right
720575940611225237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg58,left
720575940615453182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg07,left
720575940627814522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_e,left
720575940635210859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe007,left
720575940607384242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge149,center
720575940623537485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge118,left
720575940620642940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe002,right
720575940632379071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe054,right
720575940622681864,0.0,28.0,0.0,21.0,0.0,0.0,37.0,DNg02_b,left
720575940625094325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNae008,left
720575940620714150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge046,right
720575940637678653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg92_b,right
720575940617663093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg51,right
720575940653053601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg03,left
720575940629421159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp12,right
